index,Year,Mileage(miles),Engine,PS,Transmission,Fuel,Number_of_Owners,Price(£),href,PPY,MileageRank,PriceRank,PPYRank,Score
0,2018,44000,1.6L,114.3984221,1,1,1,14995,https://www.autotrader.co.uk/car-details/202212122461540?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,2499.166667,215,163,340,718
4,2016,42596,1.0L,93.68836292,1,0,3,10755,https://www.autotrader.co.uk/car-details/202210090558995?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,2688.75,222,330,276,828
7,2015,42700,1.4L,123.2741617,1,0,2,10799,https://www.autotrader.co.uk/car-details/202212152544160?year-to=2022&year-from=2012&include-delivery-option=on&make=Audi&radius=1500&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=br49jd&sort=relevance&exclude-writeoff-categories=on&page=1&percentVehiclePriceDeposit=true,3599.666667,221,327,94,642
11,2014,86000,1.6L,103.5502959,1,1,3,7490,https://www.autotrader.co.uk/car-details/202211151697232?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3745,41,449,83,573
12,2014,104310,1.6L,103.5502959,1,1,3,7400,https://www.autotrader.co.uk/car-details/202207298262599?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3700,12,452,85,549
15,2015,55191,1.4L,123.2741617,1,0,2,9991,https://www.autotrader.co.uk/car-details/202212052286694?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3330.333333,148,365,125,638
18,2014,93432,1.6L,103.5502959,1,1,4,6490,https://www.autotrader.co.uk/car-details/202212052289351?make=Audi&radius=1500&year-from=2012&include-delivery-option=on&model=A1&advertising-location=at_cars&exclude-writeoff-categories=on&postcode=br49jd&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=relevance&page=2,3245,30,466,134,630
25,2015,49000,1.4L,123,1,0,2,11795,https://www.autotrader.co.uk/car-details/202209219967954?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=3&percentVehiclePriceDeposit=true,3931.666667,185,271,61,517
28,2018,68582,1.4L,147.9289941,1,0,1,12300,https://www.autotrader.co.uk/car-details/202211101543944?include-delivery-option=on&model=A1&radius=1500&postcode=br49jd&exclude-writeoff-categories=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&page=3&percentVehiclePriceDeposit=true,2050,91,245,452,788
30,2016,72900,1.6L,114.3984221,1,1,2,8980,https://www.autotrader.co.uk/car-details/202211141675789?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=4&percentVehiclePriceDeposit=true,2245,69,406,421,896
32,2015,68700,1.4L,123,0,0,2,11183,https://www.autotrader.co.uk/car-details/202212222721369?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=4&percentVehiclePriceDeposit=true,3727.666667,90,306,84,480
37,2017,33000,1.4L,123.2741617,1,0,1,11840,https://www.autotrader.co.uk/car-details/202211011287489?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2012&make=Audi&radius=1500&model=A1&year-to=2022&include-delivery-option=on&postcode=br49jd&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=4&percentVehiclePriceDeposit=true,2368,291,268,384,943
40,2015,70000,1.4L,148,1,0,2,9990,https://www.autotrader.co.uk/car-details/202208259122155?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,3330,83,369,126,578
42,2019,54595,1.0L,93.68836292,1,0,1,14837,https://www.autotrader.co.uk/car-details/202211081476066?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,2119.571429,154,171,443,768
43,2018,37000,1.4L,123.2741617,1,0,1,12650,https://www.autotrader.co.uk/car-details/202210020337172?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5,2108.333333,258,227,445,930
44,2016,65000,1.0L,93.68836292,1,0,2,8990,https://www.autotrader.co.uk/car-details/202211011278471?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5,2247.5,99,405,420,924
46,2014,96500,1.2L,84.81262327,1,0,4,6550,https://www.autotrader.co.uk/car-details/202211292106864?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,3275,22,464,130,616
47,2017,38030,1.6L,114.3984221,1,1,2,12500,https://www.autotrader.co.uk/car-details/202209219950134?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,2500,250,232,331,813
48,2015,54000,1.4L,123.2741617,1,0,3,9499,https://www.autotrader.co.uk/car-details/202208178884874?advertising-location=at_cars&year-to=2022&make=Audi&radius=1500&include-delivery-option=on&model=A1&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=br49jd&year-from=2012&exclude-writeoff-categories=on&sort=relevance&page=5&percentVehiclePriceDeposit=true,3166.333333,156,383,148,687
50,2015,71845,1.4L,123.2741617,1,0,2,8695,https://www.autotrader.co.uk/car-details/202209139705891?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,2898.333333,75,416,202,693
53,2015,61161,1.6L,114.3984221,1,1,2,9595,https://www.autotrader.co.uk/car-details/202209139708262?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,3198.333333,121,381,144,646
56,2017,22000,1.4L,123.2741617,1,0,1,12995,https://www.autotrader.co.uk/car-details/202207197933466?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,2599,368,218,305,891
57,2014,44652,1.6L,103.5502959,1,1,1,7750,https://www.autotrader.co.uk/car-details/202207258106971?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,3875,208,443,63,714
58,2014,61550,1.4L,182.4457594,0,0,6,11000,https://www.autotrader.co.uk/car-details/202211221897322?model=A1&exclude-writeoff-categories=on&radius=1500&postcode=br49jd&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&include-delivery-option=on&make=Audi&sort=relevance&advertising-location=at_cars&year-to=2022&year-from=2012&page=6,5500,119,310,15,444
60,2015,45121,1.0L,93.68836292,1,0,2,10575,https://www.autotrader.co.uk/car-details/202212142525379?model=A1&radius=1500&postcode=br49jd&year-to=2022&exclude-writeoff-categories=on&make=Audi&sort=relevance&include-delivery-option=on&year-from=2012&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=7,3525,205,337,96,638
